"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a",NA,NA,NA,NA,NA,NA,NA,"旧笠利町笠利",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"旧笠利町笠利",NA,NA,NA,NA,NA,"声",NA
NA,"660139",NA,NA,NA,"mapepara",NA,NA,NA,NA,"m_a_?_i_b_a_r_a",NA,NA,NA,NA,NA,NA,NA,"与那国町祖納",NA,NA,NA,NA,NA,"前",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a",NA,NA,NA,NA,NA,NA,NA,"旧名瀬市金久",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"旧名瀬市金久",NA,NA,NA,NA,NA,"声",NA
NA,"660139",NA,NA,NA,"mapepara",NA,NA,NA,NA,"m_a_?_i_b_a_r_a",NA,NA,NA,NA,NA,NA,NA,"与那国町比川",NA,NA,NA,NA,NA,"前",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a",NA,NA,NA,NA,NA,NA,NA,"龍郷町中勝カツ",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"龍郷町中勝カツ",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a",NA,NA,NA,NA,NA,NA,NA,"大和村大和浜",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"大和村大和浜",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"住用村西仲間",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"住用村西仲間",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"宇検村宇検",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"宇検村宇検",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"瀬戸内町管鈍ドン",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i:",NA,NA,NA,NA,NA,NA,NA,"瀬戸内町管鈍ドン",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"瀬戸内町武名",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i:",NA,NA,NA,NA,NA,NA,NA,"瀬戸内町武名",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"瀬戸内町嘉鉄",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"瀬戸内町嘉鉄",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"瀬戸内町渡連",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"瀬戸内町渡連",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"喜界町志戸桶",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"喜界町志戸桶",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"喜界町阿伝",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"喜界町阿伝",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"喜界町湾",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"喜界町湾",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"天城町浅間",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"天城町浅間",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"徳之島町亀徳トク",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"徳之島町亀徳トク",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"伊仙町伊仙",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i2",NA,NA,NA,NA,NA,NA,NA,"伊仙町伊仙",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"和泊町和泊",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"和泊町和泊",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"知名町知名",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"知名町知名",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"与論町茶花チャバナ",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"与論町茶花チャバナ",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"伊平屋村我喜屋",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"伊平屋村我喜屋",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"伊是名村諸見",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kwx_i:",NA,NA,NA,NA,NA,NA,NA,"伊是名村諸見",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"伊江村東江前",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"伊江村東江前",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"国頭村辺土名",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"国頭村辺土名",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"国頭村辺野喜",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"国頭村辺野喜",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"大宜味村根路銘",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"大宜味村根路銘",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"今帰仁村与那嶺",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"今帰仁村与那嶺",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"本部町備瀬",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"本部町備瀬",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"本部町浜元",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"本部町浜元",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"名護市川上",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"h_u_?_i",NA,NA,NA,NA,NA,NA,NA,"名護市川上",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"名護市名護",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"hw_i:",NA,NA,NA,NA,NA,NA,NA,"名護市名護",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"恩納村恩納",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_u_?_i",NA,NA,NA,NA,NA,NA,NA,"恩納村恩納",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"金武町金武",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"金武町金武",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"読谷村古堅",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"読谷村古堅",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"旧石川市石川",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧石川市石川",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"沖縄市胡屋",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"沖縄市胡屋",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧具志川市具志川",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧具志川市具志川",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧勝連町与那城",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"旧勝連町与那城",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"旧勝連町平安座",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_i:",NA,NA,NA,NA,NA,NA,NA,"旧勝連町平安座",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"北谷町北谷",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"北谷町北谷",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"hw_a:",NA,NA,NA,NA,NA,NA,NA,"中城村屋宜",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"中城村屋宜",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"宜野湾市普天間",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"宜野湾市普天間",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"宜野湾市大山",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"宜野湾市大山",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"浦添市安波茶",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"浦添市安波茶",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"西原町小波津",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"西原町小波津",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"p_a:",NA,NA,NA,NA,NA,NA,NA,"勝連町津堅",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"k_i:",NA,NA,NA,NA,NA,NA,NA,"勝連町津堅",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"那覇市首里当蔵士族",NA,NA,NA,NA,NA,"歯",NA
NA,"070020",NA,NA,NA,"kowe",NA,NA,NA,NA,"kw_i:",NA,NA,NA,NA,NA,NA,NA,"那覇市首里当蔵士族",NA,NA,NA,NA,NA,"声",NA
NA,"060019",NA,NA,NA,"pa",NA,NA,NA,NA,"h_a:",NA,NA,NA,NA,NA,NA,NA,"那覇市首里当蔵",NA,NA,NA,NA,NA,"歯",NA
